"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"R46","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","65.725mm","42.0mm","65.725mm","42.0mm","66.75mm","42.0mm","T","180","10k",
"R47","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","80.25mm","30.725mm","80.25mm","30.725mm","80.25mm","31.75mm","T","270","10k",
"R49","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","77.725mm","65.25mm","77.725mm","65.25mm","76.7mm","65.25mm","T","0","10k",
"R5","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","14.375mm","55.5mm","14.375mm","55.5mm","13.35mm","55.5mm","T","0","10k",
"R50","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","73.5mm","65.775mm","73.5mm","65.775mm","73.5mm","64.75mm","T","90","10k",
"R51","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","69.25mm","67.25mm","69.25mm","67.25mm","70.275mm","67.25mm","T","180","10k",
"R6","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","19.025mm","55.5mm","19.025mm","55.5mm","18.0mm","55.5mm","T","0","10k",
"R7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","68.37mm","17.405mm","68.37mm","17.405mm","68.37mm","16.38mm","T","90","100k",
"R8","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","71.79mm","12.685mm","71.79mm","12.685mm","71.79mm","11.66mm","T","90","10k",
"R9","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","61.53mm","15.0mm","61.53mm","15.0mm","60.505mm","15.0mm","T","0","10k",
"U1","Hsop-6","25.85mm","60.0mm","25.85mm","60.0mm","29.03mm","58.09mm","T","180","1142B50",
"U2","SOT-223-3_TabPin2","42.25mm","65.33mm","42.25mm","65.33mm","39.95mm","62.18mm","T","90","AP1117-33",
"U3","LQFP-64_10x10mm_P0.5mm","37.31mm","38.68mm","37.31mm","38.68mm","33.56mm","33.005mm","T","90","STM32F103RCTx",
"Through Hole Items ",
"BZ1","MagneticBuzzer_ProSignal_ABI-010-RC","72.35mm","76.5mm","72.35mm","76.5mm","72.35mm","76.5mm","T","180","Buzzer",
"J1","PinHeader_1x02_P2.54mm_Vertical","11.81mm","69.56mm","11.81mm","69.56mm","11.81mm","69.56mm","T","0","DC-20V",
"J10","PinHeader_1x03_P2.54mm_Vertical","36.0mm","50.25mm","36.0mm","50.25mm","36.0mm","50.25mm","T","90","UART",
"J11","PinHeader_1x04_P2.54mm_Vertical","31.5mm","50.11mm","31.5mm","50.11mm","31.5mm","50.11mm","T","270","SWIO",
"J12","PinHeader_1x04_P2.54mm_Vertical","29.25mm","9.5mm","29.25mm","9.5mm","29.25mm","9.5mm","T","270","switch",
"J13","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","86.5mm","52.0mm","86.5mm","52.0mm","86.5mm","52.0mm","T","0","BATT+",
"J14","PinHeader_1x07_P2.00mm_Vertical","58.75mm","34.25mm","58.75mm","34.25mm","58.75mm","34.25mm","T","180","Conn_01x07_Female",
"J2","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","62.0mm","6.25mm","62.0mm","6.25mm","62.0mm","6.25mm","T","180","J2_C",
"J3","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","76.75mm","6.25mm","76.75mm","6.25mm","76.75mm","6.25mm","T","0","J1_C",
"J4","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","86.86mm","38.78mm","86.86mm","38.78mm","86.86mm","38.78mm","T","90","NTC_1",
"J5","PinHeader_1x06_P2.54mm_Vertical","17.06mm","76.19mm","17.06mm","76.19mm","17.06mm","76.19mm","T","90","BAT_R",
"J6","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","86.86mm","42.68mm","86.86mm","42.68mm","86.86mm","42.68mm","T","90","NTC_2",
"J7","PinHeader_1x04_P2.54mm_Vertical","86.5mm","15.38mm","86.5mm","15.38mm","86.5mm","15.38mm","T","180","IIC",
"J8","PinHeader_1x04_P2.54mm_Vertical","43.75mm","9.59mm","43.75mm","9.59mm","43.75mm","9.59mm","T","270","LED",
"J9","PinHeader_1x07_P2.54mm_Vertical","12.25mm","47.25mm","12.25mm","47.25mm","12.25mm","47.25mm","T","0","LCD",
"R48","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","86.75mm","32.0mm","86.75mm","32.0mm","86.75mm","32.0mm","T","270","NTC",
"SW1","PinHeader_1x02_P2.54mm_Vertical","16.21mm","20.655mm","16.21mm","20.655mm","16.21mm","20.655mm","T","0","RST",
"SW2","PinHeader_1x02_P2.54mm_Vertical","11.5mm","20.78mm","11.5mm","20.78mm","11.5mm","20.78mm","T","0","START",
"Y1","Crystal_HC49-U_Vertical","27.37mm","25.235mm","27.37mm","25.235mm","27.37mm","25.235mm","T","0","Crystal",
